image;X;Y;issues
spotassay_197_03.jpg;80;138;False
spotassay_198_00.jpg;40;136;False
spotassay_198_01.jpg;54;2;True
spotassay_198_02.jpg;66;182;False
spotassay_198_03.jpg;60;198;False
spotassay_199_00.jpg;43;129;False
spotassay_199_01.jpg;65;71;False
spotassay_199_02.jpg;4;171;False
spotassay_199_03.jpg;36;182;False
spotassay_1a.png;51;198;False
spotassay_1b.png;77;188;False
spotassay_1c.png;60;220;False
spotassay_1d.png;40;286;False
spotassay_200_00.jpg;9;98;False
spotassay_200_01.jpg;21;112;False
spotassay_200_02.jpg;35;186;False
spotassay_200_03.jpg;38;162;False
spotassay_201_00.jpg;49;70;False
spotassay_201_01.jpg;56;82;False
spotassay_201_02.jpg;19;131;False
spotassay_201_03.jpg;88;219;False
spotassay_202_00.jpg;36;16;False
spotassay_202_01.jpg;50;43;False
spotassay_202_02.jpg;24;98;False
spotassay_202_03.jpg;38;170;False
spotassay_203_00.jpg;31;61;False
spotassay_203_01.jpg;49;83;False
spotassay_203_02.jpg;27;53;False
spotassay_203_03.jpg;31;188;False
spotassay_204_00.jpg;35;30;False
spotassay_204_01.jpg;41;34;False
spotassay_204_02.jpg;46;171;False
spotassay_204_03.jpg;65;156;False
spotassay_205_00.jpg;48;38;False
spotassay_205_01.jpg;50;44;False
spotassay_205_02.jpg;44;162;False
spotassay_205_03.jpg;48;266;False
spotassay_206_00.jpg;19;99;False
spotassay_206_01.jpg;39;51;False
spotassay_206_02.jpg;45;146;False
spotassay_206_03.jpg;25;168;False
spotassay_207_00.jpg;63;71;False
spotassay_207_01.jpg;44;69;False
spotassay_207_02.jpg;27;122;False
spotassay_207_03.jpg;64;261;False
spotassay_208_00.jpg;31;93;False
spotassay_208_01.jpg;20;64;False
spotassay_208_02.jpg;54;304;False
spotassay_208_03.jpg;1;66;False
spotassay_209_00.jpg;50;55;False
spotassay_209_01.jpg;56;79;False
spotassay_209_02.jpg;31;172;False
spotassay_209_03.jpg;40;210;False
spotassay_210_00.jpg;41;35;False
spotassay_210_01.jpg;68;79;False
spotassay_210_02.jpg;55;95;False
spotassay_210_03.jpg;49;175;False
spotassay_211_00.jpg;60;80;False
spotassay_211_01.jpg;14;84;False
spotassay_211_02.jpg;49;141;False
spotassay_211_03.jpg;61;232;False
spotassay_212_00.jpg;48;54;False
spotassay_212_01.jpg;46;63;False
spotassay_212_02.jpg;41;172;False
spotassay_212_03.jpg;53;131;False
spotassay_213_00.jpg;38;94;False
spotassay_213_01.jpg;58;63;False
spotassay_213_02.jpg;24;133;False
spotassay_213_03.jpg;39;103;False
